Name,Amplify Projects,Category,Priority
"ensure creative brief and asset downloading into drive happens correctly, may need to adjust appscript on amplify CRM sheet to only show filled folders",,,
get the ambassadors back online,,,
make minor changes to the tally forms,,,
FIX BRANDING ON FREE EPK (FOR DELIVERY THROUGH SMS CAPTURE),,,
